trade_date,predicted_pct_change,predicted_label,predicted_close,confidence,real_pct_change,correct,calibrated_confidence,confidence_calibration_window,confidence_calibration_method,confidence_calibration_rows,confidence_calibration_fallback,uncalibrated_predicted_return,return_calibration_scale,return_calibration_rows,return_calibration_close_fallback
20251031,0.00056192185927893127,1,3957.0122829498578,0.65000000000000002,0.0054947797481028626,True,0.56078296092062485,300,platt,300,0,0.0035835373463330043,0.1568064749915164,252,0
20251103,0.00074791331569364658,1,3979.4947927816611,0.65000000000000002,-0.0041077869907730769,False,0.56086146941275161,300,platt,300,0,0.0041005042636251422,0.18239544885448727,252,0
20251104,0.00079398844870120805,1,3963.330341938708,0.65000000000000002,0.0022883521127543549,True,0.55740705820218972,300,platt,300,0,0.0048368020379989272,0.16415566369338025,252,0
20251105,0.00095620224091819725,1,3973.0437041192208,0.65000000000000002,0.0097024920310477825,True,0.55748601107892204,300,platt,300,0,0.0058249725864119367,0.16415566369338025,252,0
20251106,0.00065303781700110281,1,4010.3771187761604,0.65000000000000002,-0.0025461106090711727,False,0.56093694971050023,300,platt,300,0,0.0035803405244068777,0.18239544885448727,252,0
20251107,-0.00033823956689719748,0,3996.2035684913844,0.65000000000000002,0.0052635914491447888,False,0.56085557827523647,300,platt,300,0,-0.0018544298611696207,0.18239544885448727,252,0
20251110,0.00046238985768921182,1,4020.4553585874182,0.65000000000000002,-0.0039415744379656115,False,0.55745631535933571,300,platt,300,0,0.0028167767549762473,0.16415566369338025,252,0
20251111,-0.00055694976277216753,0,4000.5282651042453,0.64166666666666672,-0.00065404909855149018,True,0.55818312664345371,300,platt,300,0,-0.0033928147847062501,0.16415566369338025,252,0
20251112,0.00072005492207386325,1,4003.0199202079625,0.64166666666666672,0.0073401438289804055,True,0.55822105243278519,300,platt,300,0,0.0039477680314727245,0.18239544885448727,252,0
20251113,0.0006414438765668843,1,4032.0858988703594,0.64166666666666672,-0.0096808756379077598,False,0.56156257076448146,300,platt,300,0,0.0035167756684467487,0.18239544885448727,252,0
20251114,0.00079707934775265167,1,3993.6728388402803,0.6333333333333333,-0.0046253192682677025,False,0.5590676584171973,300,platt,300,0,0.0043700616038317448,0.18239544885448727,252,0
20251117,-0.00055085653898893981,0,3969.8467786573283,0.59999999999999998,-0.0081121394001885117,True,0.56261163954076421,300,platt,300,0,-0.0033556962129425065,0.16415566369338025,252,0
20251118,-0.00066970858672881438,0,3937.1745733368234,0.59999999999999998,0.0017587890146362195,False,0.56259598881405015,300,platt,300,0,-0.004079716603502247,0.16415566369338025,252,0
20251119,0.00055245585722332919,1,3948.9228009558319,0.64166666666666672,-0.0039757345196890226,False,0.55494511797479762,300,platt,300,0,0.0030288905819359085,0.18239544885448727,252,0
20251120,-0.00068964783036954715,0,3928.3401590688486,0.59999999999999998,-0.024461752113531299,True,0.55580599876264081,300,platt,300,0,-0.0042011820661741681,0.16415566369338025,252,0
20251121,-0.0015441275034900775,0,3828.9692396428391,0.59999999999999998,0.00048885355483907489,False,0.55926262835530505,300,platt,300,0,-0.0082234844793306408,0.18777046486451973,252,0
20251124,-0.00065937449084235288,0,3834.2356347019563,0.59999999999999998,0.008668056465791274,False,0.55929016478932803,300,platt,300,0,-0.0040167635767595078,0.16415566369338025,252,0
20251125,-0.00063876217554382402,0,3867.5507758168678,0.65000000000000002,-0.0015086216029528421,True,0.55395269352796217,300,platt,300,0,-0.0038911979103988894,0.16415566369338025,252,0
20251126,0.00032514991154746262,1,3865.4408392158634,0.65000000000000002,0.0028660640522226721,True,0.55413148207455232,300,platt,300,0,0.0019807413538578665,0.16415566369338025,252,0
20251127,0.00054430837470456855,1,3877.3687361455723,0.65000000000000002,0.0034415244564016678,True,0.55433333828904729,300,platt,300,0,0.003315806244256429,0.16415566369338025,252,0
20251128,0.0006242742155897035,1,3891.0237503425001,0.65000000000000002,0.0065344660883019934,True,0.5545562499070088,300,platt,300,0,0.0034226414064077956,0.18239544885448727,252,0
20251201,0.00047353375480232882,1,3915.8595140048524,0.65000000000000002,-0.0041631258571620533,False,0.55472649851101974,300,platt,300,0,0.0024564093550605583,0.19277477258697978,252,0
20251202,0.00041596569514577202,1,3899.3329143151714,0.64166666666666672,-0.0050573264579144572,False,0.55206698333646087,300,platt,300,0,0.0021471875793123833,0.19372582961707571,252,0
20251203,0.00064604730735973745,1,3880.5049711995221,0.64166666666666672,-0.00056892734078684004,False,0.55198765840323949,300,platt,300,0,0.0033513062870726071,0.19277477258697978,252,0
20251204,0.00062142151629669521,1,3878.2018013493384,0.6333333333333333,0.0069700053405841178,True,0.55266145918991172,300,platt,300,0,0.003223562440029908,0.19277477258697978,252,0
20251205,0.00092562108295659825,1,3906.4201209972834,0.6333333333333333,0.0054499740135793839,True,0.55271158671515008,300,platt,300,0,0.0047779951944777249,0.19372582961707571,252,0
20251208,0.00078818262353678547,1,3927.1706899353662,0.64166666666666672,-0.0037094575443942235,False,0.55199687220827487,300,platt,300,0,0.003374115715898371,0.23359679688013571,252,0
20251209,0.00054508001990108803,1,3911.6526021115319,0.6333333333333333,-0.002308620062362654,False,0.55271175067134148,300,platt,300,0,0.0023334224920078081,0.23359679688013571,252,0
20251210,0.00081437854262382872,1,3903.6724802479898,0.6333333333333333,-0.0069679343345052658,False,0.54940183733383618,300,platt,300,0,0.0031836240652783347,0.2558023579183587,252,0
20251211,0.0011675997661699813,1,3877.8400847240619,0.625,0.0041380804920310155,True,0.54682109750572883,300,platt,300,0,0.0045644605298854586,0.2558023579183587,252,0
20251212,0.0012365032779162208,1,3894.1548887069994,0.6333333333333333,-0.005508587215582228,False,0.54609110507555447,300,platt,300,0,0.0044437395761870386,0.27825736785799798,252,0
20251215,-0.00092521570746351112,0,3864.3422388280937,0.6333333333333333,-0.011145264113337938,True,0.54607892373805356,300,platt,300,0,-0.0036169162590706096,0.2558023579183587,252,0
20251216,0.0013069966670264522,1,3829.8109164053035,0.6333333333333333,0.011887015934038514,True,0.5494036090148412,300,platt,300,0,0.005109400388887699,0.2558023579183587,252,0
20251217,0.0019687325773877725,1,3877.8970413977813,0.6333333333333333,0.0015743057183883469,True,0.55271553956705821,300,platt,300,0,0.007075221736419458,0.27825736785799798,252,0
20251218,-0.00082466670849528289,0,3873.1737862988571,0.6333333333333333,0.0036314898176013077,False,0.55603858954275998,300,platt,300,0,-0.0035302997280328282,0.23359679688013571,252,0
20251219,0.00074283625120537093,1,3893.3374654364115,0.625,0.0069185614251316974,True,0.55689037424521703,300,platt,300,0,0.0033384438166870144,0.22250973567155682,252,0
20251222,0.00053610446565548577,1,3919.4639162267777,0.6333333333333333,0.00066748970315178013,True,0.55603352009816442,300,platt,300,0,0.002095776090643338,0.2558023579183587,252,0
20251223,0.00072376619118666419,1,3922.8157479808556,0.6333333333333333,0.0053491108344316807,True,0.55606191046619646,300,platt,300,0,0.0028293960895296351,0.2558023579183587,252,0
