trade_date,raw_rows,active_rows,matched_rows,stock_coverage,amount_coverage,large_net_ratio,small_net_ratio,large_selling_fraction,large_selling_amount_fraction,large_net_median,large_small_divergence,shanghai_relative,up_sell_amount_fraction,down_buy_amount_fraction,high_turnover_large_ratio,other_turnover_large_ratio
20260414,5191,5190,5190,1,1,-0.00066571749645393387,-6.1850441616971208e-05,0.52639691714836223,0.48315528632469612,-0.0017111969171563059,0.40250481695568402,0.0016968883798685358,0.28963502294787219,0.062685139819960045,-0.0002026844004917205,-0.0013761553392482397
20260415,5189,5188,5188,1,1,-0.0115413824578867,0.0090548089214032897,0.57170393215111792,0.61816231351732709,-0.0047030694347016365,0.46144949884348496,0.012859782623280958,0.17639699625152447,0.14620890902602149,-0.015713387461753242,-0.0053447678350717395
20260416,5192,5191,5191,1,1,0.0025656167568972764,0.0024417793361482241,0.58158350992101715,0.49322792736628968,-0.0055617471496573903,0.52533230591408209,-0.0041140947406350312,0.3354986734878268,0.05341681678495834,0.0055066674535376951,-0.001749330040147951
20260417,5191,5190,5190,1,1,-0.0047915354969213118,0.0043572374056336134,0.57167630057803465,0.54031335986880069,-0.0055831487098561821,0.47668593448940272,0.0047031672054050648,0.20782127956168953,0.096111283337257672,-0.0038823577675196016,-0.0061157945981804834
20260420,5186,5185,5185,1,1,-0.0013204675408822054,0.0010528210681195812,0.57280617164898751,0.5326958537309735,-0.0052445773611186006,0.47772420443587271,0.0022667544598728674,0.27277617947528282,0.081343399354219595,-0.0004656982878447036,-0.0025705170136263518
20260421,5191,5190,5190,1,1,-0.0081444166181318112,0.0068560362286520403,0.58824662813102124,0.59336286201592281,-0.0064426307973375991,0.48169556840077071,0.0079524392507957925,0.19466753748832355,0.11197861613779558,-0.0088378602905467823,-0.0071541784916021285
20260422,5190,5189,5189,1,1,-0.0013720553754679467,0.0026672745753453467,0.58624012333783004,0.51958233202616133,-0.0060908203644848887,0.49315860474079787,0.00029745366085918946,0.29826205459646055,0.079926533855723778,0.0020634761579822912,-0.0065582864412174471
20260423,5188,5187,5187,1,1,-0.014300082933471011,0.010911603322052871,0.63986890302679778,0.66892250695139721,-0.0095397987512339227,0.51860420281472908,0.012983786442947585,0.16919252172115601,0.13663605367585913,-0.015900605599514707,-0.01188680868447471
20260424,5188,5187,5187,1,1,-0.0064456908737278336,0.0059402251695090695,0.5822247927511085,0.57590905138051662,-0.0052334382752835459,0.48717948717948717,0.0065227881267007565,0.1199012925914162,0.1105231439623434,-0.0063659264016550053,-0.0065726628485181489
20260427,5186,5185,5185,1,1,-0.002878473307343205,0.0025600455178126005,0.60848601735776275,0.54380883333261287,-0.0077412101903964877,0.51359691417550624,0.0015252552344794262,0.2472213930281798,0.095626370903492491,-0.0012327853420686773,-0.0052796866103882447
20260428,5179,5178,5178,1,1,-0.009835295227997096,0.0069526383674597464,0.5878717651602936,0.6137913039978814,-0.0058516898682736181,0.46890691386635769,0.00949711687516255,0.13291664780374987,0.12718919105644266,-0.010666763952359225,-0.008702838939945317
20260429,5153,5152,5152,1,1,0.0023128878441415171,0.0022081618612755723,0.57123447204968947,0.51124425824606246,-0.0048354728584637241,0.49980590062111802,-0.0056394428097297968,0.27533028495456197,0.065946408712391338,0.00526869378281141,-0.0018988301744592912
20260430,5152,5151,5151,1,1,-0.0054110224823151927,0.004432807119085465,0.59580663948747814,0.60185562704482121,-0.0063549841576886904,0.48844884488448848,0.003028833158021263,0.25192133285814933,0.10850842552210495,-0.0055283282592994082,-0.0052401042540527135
20260506,5181,5180,5180,1,1,0.0030541044924074336,-0.00099653377828901849,0.53706563706563704,0.47565073392827167,-0.0021622113263718512,0.42413127413127411,-0.0021009036299577889,0.34069242345425765,0.064982011157314903,0.0040605391332670521,0.0015703164536371461
20260507,5183,5182,5182,1,1,-0.0027942860187516404,0.0026132449407314309,0.5698571979930529,0.52258779507863717,-0.0047424157828553186,0.46179081435739094,0.0018262422559589685,0.31934315203893388,0.062638613463666754,-0.0036722334498165846,-0.0014865319441335282
