trade_date,contract_rows,P_contract_rows,P_volume,P_amount,P_interest,C_contract_rows,C_volume,C_amount,C_interest,near_put_interest_share,far_put_interest_share,near_interest_share,put_interest_term_spread,matched_put_interest_growth,matched_call_interest_growth,matched_interest_imbalance,matched_contract_rows,matched_prior_interest_coverage
20260205,130,65,391634,16583.742539000003,570731,65,407603,21688.586138999999,775595,0.37911389225957737,0.48138534157109819,0.56191591041099997,-0.10227144931152082,0.014614851291532595,0.026656712427047469,-0.0090419562857036642,130,1
20260206,130,65,389204,18006.479721,575623,65,404138,18994.514455,801275,0.37301797873234699,0.47376509615728268,0.5529414669786723,-0.10074711742493569,0.0085714636142070425,0.033110063886435573,-0.015440539661270748,130,1
20260209,130,65,427098,13443.41035,585314,65,396493,20886.773241999996,755761,0.40096910453226114,0.47670998261843972,0.53153104785340122,-0.075740878086178576,0.016835671958903658,-0.056801971857352342,0.040093746958743494,130,1
20260210,130,65,263308,8223.379081000001,588110,65,260717,12407.734193999999,739068,0.40840557831404767,0.47986410148660319,0.51408703278686052,-0.071458523172555521,0.0047769231557762155,-0.02208767057310446,0.014532371418451616,130,1
20260211,130,65,302845,9515.3001789999998,560815,65,265443,13182.655712,717317,0.39823474322954755,0.47740245057597702,0.48789326923979681,-0.079167707346429472,-0.046411385625138156,-0.029430309524969285,-0.0041772844335876578,130,1
20260212,130,65,230295,7413.7978409999996,549876,65,253143,12930.777947999999,733821,0.38032109930825503,0.47032548688739478,0.46633356625434197,-0.090004387579139755,-0.019505541042946425,0.02300795882434126,-0.021471178250759702,130,1
20260213,130,65,542502,23699.755615000002,527889,65,593018,23690.404813999998,749246,0.34900963406818114,0.45358111118182398,0.38483402302810588,-0.10457147711364284,-0.039985378521703072,0.02102011253425563,-0.029143949078326115,130,1
20260224,130,65,328729,11950.701481999999,535769,65,447032,14816.156462000001,766668,0.3983487191884495,0.48576425251363214,0.85116900088065683,-0.087415533325182648,0.014927380566747934,0.023252710057844819,-0.007471410618297987,130,1
20260225,130,65,356742,17945.650194000002,534064,65,480681,21633.986011000001,748280,0.40554143568085643,0.47457568700053671,0.84162362049496864,-0.069034251319680273,-0.0031823416435068099,-0.023984306114250235,0.012809064853040876,130,1
20260226,128,64,300827,12537.514361,468395,64,345703,14322.971595000001,601590,0.4176929659169758,0.50212961761270458,0.76236022000308412,-0.084436651695728782,0.076827581833569511,0.12497623058350796,-0.036067807391934117,110,0.7257303812393554
20260227,128,64,192458,7853.3507629999995,485084,64,228995,9912.5226589999984,610320,0.42171822665875125,0.50530450304611452,0.74735713946635218,-0.083586276387363267,0.03563018392595993,0.0145115444073206,0.007438422033953747,128,1
20260302,128,64,455201,19207.300254000002,507469,64,445558,19719.604419000003,615652,0.43235760255891476,0.50708920684908576,0.73932550455382817,-0.074731604290171005,0.046146646766333253,0.0087364005767466245,0.015567772255715699,128,1
20260303,128,64,670732,29169.897000999998,531470,64,552619,25802.149998000001,661982,0.42278564297512355,0.50736149632396876,0.73354102217768291,-0.084575853348845209,0.047295499823634547,0.075253552331511958,-0.019881206032119424,128,1
20260304,128,64,653928,35034.695867000002,571020,64,573864,22550.207109999999,732425,0.41147732221575878,0.51173674990315732,0.7346094388332457,-0.10025942768739854,0.074416241744595185,0.10641225894359665,-0.025885414746466554,128,1
